code	faostat	active
20	252	252
31	252	252
33	252	252
44	82	252
57	252	252
205	252	252
357	24	252
450	252	252
451	252	252
455	252	252
808	252	252
810	252	252
813	172	252
890	252	252
916	252	252
917	252	252
950	252	252
951	252	252
952	252	252
958	252	252
959	252	252
960	252	252
975	252	252
978	252	252
979	252	252
990	252	252
999	252	252
51	252	252
59	252	252
891	252	252
892	31	252
894	71	252
1010	252	252
1011	252	252
